a,641.2857143,774.4285714,953.4285714,814.5714286,900.4285714,16295.55721,47.34495413
b,954.25,368.5,516.75,374.125,355,16642.61776,57.29298631
c,852.8571429,559.5714286,738.8571429,608.5714286,656.4285714,15581.01366,52.8641634
d,822.1111111,331.4444444,818.4444444,645,633.3333333,17020.57206,47.38118561
e,956.8888889,666.2222222,804.5555556,704.8888889,789.4444444,16813.99013,14.00422774
water,918.3333333,309.5833333,445.5,388.25,635.8333333,19540.08674,77.43213225
help,733.5833333,767.8333333,922.9166667,820.6666667,915.25,20789.58852,75.69310543
f,804.75,707.3333333,634.8333333,413.9166667,371,16304.24127,27.67791626
g,812.75,354.9166667,918.9166667,804.6666667,923.75,15096.08349,8.934896419
help,887.3846154,372.5384615,551.3076923,777,880.0769231,15253.45046,9.996635249
i,939.6666667,739.4444444,900,775,366.2222222,17136.20005,10.40918021
j,847.8125,713.75,884.875,801.3125,448.875,31145.93066,350.1860019
bathroom,862.4,620.4,868.4,768.7,909.6,29475.37383,155.2882659
hungry,784.6666667,527,730.9166667,576.5,637.9166667,11742.69618,122.6587078
thank you,723.1818182,386.6363636,599.1818182,395.0909091,382.2727273,25523.83064,202.389777
